* Measurement data measured by REW V5.19
* Source: /mnt/tmp/Users/Niklas/Desktop/KITCHEN NO SMOOTH.txt
* Format: Comma/Tab/Space delimited data
* Dated: May 5, 2019 5:31:34 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 80.0 dB
* Note: Measurement imported from /mnt/tmp/Users/Niklas/Desktop/KITCHEN NO SMOOTH.txt Format: Comma/Tab/Space delimited data 60155 values loaded, 20 Hz to 22,049 Hz
* Measurement: KITCHEN NO SMOOTH.tx
* Smoothing: Variable
* Frequency Step: 0.25 Hz
* Start Frequency: 20.142 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
186.642 82.460 0.000
186.892 82.254 0.000
187.142 82.049 0.000
187.392 81.846 0.000
187.642 81.647 0.000
187.892 81.452 0.000
188.142 81.263 0.000
188.392 81.081 0.000
188.642 80.906 0.000
188.892 80.740 0.000
189.142 80.583 0.000
189.392 80.436 0.000
189.642 80.300 0.000
189.892 80.175 0.000
190.142 80.061 0.000
190.392 79.959 0.000
190.642 79.870 0.000
190.892 79.793 0.000
191.142 79.730 0.000
191.392 79.680 0.000
191.642 79.645 0.000
191.892 79.624 0.000
192.142 79.617 0.000
192.392 79.627 0.000
192.642 79.652 0.000
192.892 79.693 0.000
193.142 79.751 0.000
193.392 79.825 0.000
193.642 79.916 0.000
193.892 80.024 0.000
194.142 80.147 0.000
194.392 80.287 0.000
194.642 80.442 0.000
194.892 80.611 0.000
195.142 80.794 0.000
195.392 80.989 0.000
195.642 81.195 0.000
195.892 81.412 0.000
196.142 81.637 0.000
196.392 81.870 0.000
196.642 82.109 0.000
196.892 82.352 0.000
197.142 82.600 0.000
197.392 82.850 0.000
197.642 83.101 0.000
197.892 83.353 0.000
198.142 83.604 0.000
198.392 83.854 0.000
198.642 84.101 0.000
198.892 84.346 0.000
199.142 84.586 0.000
199.392 84.822 0.000
199.642 85.053 0.000
199.892 85.279 0.000
200.142 85.498 0.000
200.392 85.711 0.000
200.642 85.917 0.000
200.892 86.116 0.000
201.142 86.307 0.000
201.392 86.490 0.000
201.642 86.665 0.000
201.892 86.832 0.000
202.142 86.989 0.000
202.392 87.138 0.000
202.642 87.278 0.000
202.892 87.409 0.000
203.142 87.530 0.000
203.392 87.642 0.000
203.642 87.744 0.000
203.892 87.837 0.000
204.142 87.921 0.000
204.392 87.995 0.000
204.642 88.060 0.000
204.892 88.115 0.000
205.142 88.162 0.000
205.392 88.200 0.000
205.642 88.229 0.000
205.892 88.250 0.000
206.142 88.262 0.000
206.392 88.267 0.000
206.642 88.264 0.000
206.892 88.254 0.000
207.142 88.237 0.000
207.392 88.213 0.000
207.642 88.183 0.000
207.892 88.147 0.000
208.142 88.105 0.000
208.392 88.057 0.000
208.642 88.005 0.000
208.892 87.948 0.000
209.142 87.886 0.000
209.392 87.820 0.000
209.642 87.749 0.000
209.892 87.675 0.000
210.142 87.597 0.000
210.392 87.516 0.000
210.642 87.432 0.000
210.892 87.344 0.000
211.142 87.254 0.000
211.392 87.160 0.000
211.642 87.064 0.000
211.892 86.964 0.000
212.142 86.862 0.000
212.392 86.758 0.000
212.642 86.651 0.000
212.892 86.541 0.000
213.142 86.428 0.000
213.392 86.313 0.000
213.642 86.195 0.000
213.892 86.074 0.000
214.142 85.951 0.000
214.392 85.825 0.000
214.642 85.696 0.000
214.892 85.565 0.000
215.142 85.430 0.000
215.392 85.294 0.000
215.642 85.154 0.000
215.892 85.012 0.000
216.142 84.868 0.000
216.392 84.721 0.000
216.642 84.572 0.000
216.892 84.420 0.000
217.142 84.267 0.000
217.392 84.111 0.000
217.642 83.954 0.000
217.892 83.795 0.000
218.142 83.634 0.000
218.392 83.473 0.000
218.642 83.310 0.000
218.892 83.147 0.000
219.142 82.983 0.000
219.392 82.818 0.000
219.642 82.654 0.000
219.892 82.489 0.000
220.142 82.325 0.000
220.392 82.161 0.000
220.642 81.999 0.000
220.892 81.837 0.000
221.142 81.677 0.000
221.392 81.518 0.000
221.642 81.361 0.000
221.892 81.205 0.000
222.142 81.053 0.000
222.392 80.902 0.000
222.642 80.755 0.000
222.892 80.610 0.000
223.142 80.469 0.000
223.392 80.332 0.000
223.642 80.198 0.000
223.892 80.069 0.000
224.142 79.944 0.000
224.392 79.825 0.000
224.642 79.710 0.000
224.892 79.602 0.000
225.142 79.499 0.000
225.392 79.403 0.000
225.642 79.314 0.000
225.892 79.232 0.000
226.142 79.157 0.000
226.392 79.091 0.000
226.642 79.033 0.000
226.892 78.984 0.000
227.142 78.943 0.000
227.392 78.912 0.000
227.642 78.889 0.000
227.892 78.876 0.000
228.142 78.873 0.000
228.392 78.878 0.000
228.642 78.893 0.000
228.892 78.916 0.000
229.142 78.948 0.000
229.392 78.988 0.000
229.642 79.036 0.000
229.892 79.091 0.000
230.142 79.153 0.000
230.392 79.221 0.000
230.642 79.295 0.000
230.892 79.373 0.000
231.142 79.456 0.000
231.392 79.542 0.000
231.642 79.631 0.000
231.892 79.722 0.000
232.142 79.815 0.000
232.392 79.908 0.000
232.642 80.002 0.000
232.892 80.096 0.000
233.142 80.189 0.000
233.392 80.281 0.000
233.642 80.371 0.000
233.892 80.459 0.000
234.142 80.544 0.000
234.392 80.626 0.000
234.642 80.705 0.000
234.892 80.780 0.000
235.142 80.852 0.000
235.392 80.919 0.000
235.642 80.981 0.000
235.892 81.039 0.000
236.142 81.093 0.000
236.392 81.141 0.000
236.642 81.185 0.000
236.892 81.223 0.000
237.142 81.256 0.000
237.392 81.284 0.000
237.642 81.307 0.000
237.892 81.324 0.000
238.142 81.337 0.000
238.392 81.343 0.000
238.642 81.345 0.000
238.892 81.342 0.000
239.142 81.333 0.000
239.392 81.320 0.000
239.642 81.301 0.000
239.892 81.278 0.000
240.142 81.249 0.000
240.392 81.217 0.000
240.642 81.179 0.000
240.892 81.137 0.000
241.142 81.091 0.000
241.392 81.040 0.000
241.642 80.986 0.000
241.892 80.927 0.000
242.142 80.864 0.000
242.392 80.798 0.000
242.642 80.728 0.000
242.892 80.654 0.000
243.142 80.577 0.000
243.392 80.497 0.000
243.642 80.413 0.000
243.892 80.326 0.000
244.142 80.236 0.000
244.392 80.144 0.000
244.642 80.048 0.000
244.892 79.950 0.000
245.142 79.850 0.000
245.392 79.746 0.000
245.642 79.641 0.000
245.892 79.534 0.000
246.142 79.424 0.000
246.392 79.312 0.000
246.642 79.199 0.000
246.892 79.083 0.000
247.142 78.966 0.000
247.392 78.848 0.000
247.642 78.728 0.000
247.892 78.607 0.000
248.142 78.484 0.000
248.392 78.361 0.000
248.642 78.237 0.000
248.892 78.112 0.000
249.142 77.986 0.000
249.392 77.859 0.000
249.642 77.732 0.000
249.892 77.605 0.000
250.142 77.478 0.000
250.392 77.351 0.000
250.642 77.224 0.000
250.892 77.097 0.000
251.142 76.970 0.000
251.392 76.844 0.000
251.642 76.718 0.000
251.892 76.594 0.000
252.142 76.470 0.000
252.392 76.347 0.000
252.642 76.226 0.000
252.892 76.105 0.000
253.142 75.986 0.000
253.392 75.869 0.000
253.642 75.753 0.000
253.892 75.639 0.000
254.142 75.526 0.000
254.392 75.416 0.000
254.642 75.307 0.000
254.892 75.201 0.000
255.142 75.096 0.000
255.392 74.994 0.000
255.642 74.894 0.000
255.892 74.796 0.000
256.142 74.700 0.000
256.392 74.607 0.000
256.642 74.516 0.000
256.892 74.427 0.000
257.142 74.341 0.000
257.392 74.257 0.000
257.642 74.175 0.000
257.892 74.096 0.000
258.142 74.019 0.000
258.392 73.945 0.000
258.642 73.873 0.000
258.892 73.803 0.000
259.142 73.736 0.000
259.392 73.671 0.000
259.642 73.608 0.000
259.892 73.548 0.000
260.142 73.490 0.000
260.392 73.435 0.000
260.642 73.382 0.000
260.892 73.331 0.000
261.142 73.283 0.000
261.392 73.237 0.000
261.642 73.194 0.000
261.892 73.153 0.000
262.142 73.115 0.000
262.392 73.079 0.000
262.642 73.045 0.000
262.892 73.014 0.000
263.142 72.985 0.000
263.392 72.958 0.000
263.642 72.934 0.000
263.892 72.912 0.000
264.142 72.892 0.000
264.392 72.875 0.000
264.642 72.859 0.000
264.892 72.845 0.000
265.142 72.834 0.000
265.392 72.824 0.000
265.642 72.816 0.000
265.892 72.810 0.000
266.142 72.805 0.000
266.392 72.801 0.000
266.642 72.799 0.000
266.892 72.799 0.000
267.142 72.799 0.000
267.392 72.800 0.000
267.642 72.803 0.000
267.892 72.806 0.000
268.142 72.810 0.000
268.392 72.815 0.000
268.642 72.820 0.000
268.892 72.826 0.000
269.142 72.832 0.000
269.392 72.838 0.000
269.642 72.845 0.000
269.892 72.852 0.000
270.142 72.859 0.000
270.392 72.866 0.000
270.642 72.873 0.000
270.892 72.881 0.000
271.142 72.888 0.000
271.392 72.895 0.000
271.642 72.903 0.000
271.892 72.910 0.000
272.142 72.918 0.000
272.392 72.925 0.000
272.642 72.933 0.000
272.892 72.941 0.000
273.142 72.948 0.000
273.392 72.956 0.000
273.642 72.965 0.000
273.892 72.973 0.000
274.142 72.982 0.000
274.392 72.991 0.000
274.642 73.001 0.000
274.892 73.011 0.000
275.142 73.022 0.000
275.392 73.034 0.000
275.642 73.046 0.000
275.892 73.059 0.000
276.142 73.073 0.000
276.392 73.088 0.000
276.642 73.104 0.000
276.892 73.121 0.000
277.142 73.139 0.000
277.392 73.158 0.000
277.642 73.179 0.000
277.892 73.201 0.000
278.142 73.224 0.000
278.392 73.249 0.000
278.642 73.275 0.000
278.892 73.303 0.000
279.142 73.332 0.000
279.392 73.363 0.000
279.642 73.395 0.000
279.892 73.430 0.000
280.142 73.465 0.000
280.392 73.502 0.000
280.642 73.541 0.000
280.892 73.582 0.000
281.142 73.624 0.000
281.392 73.668 0.000
281.642 73.714 0.000
281.892 73.761 0.000
282.142 73.810 0.000
282.392 73.860 0.000
282.642 73.912 0.000
282.892 73.965 0.000
283.142 74.020 0.000
283.392 74.077 0.000
283.642 74.135 0.000
283.892 74.194 0.000
284.142 74.255 0.000
284.392 74.317 0.000
